course_id,semester,year
HarvardX/USW30x/2T2014,Summer 2014,Year 3
HarvardX/USW30x/1T2016,Summer 2015,Year 4
MITx/0.111x/2T2015,Summer 2015,Year 4
MITx/10.03x/2T2015,Summer 2015,Year 4
MITx/10.03x_2/3T2015,Fall 2015,Year 4
MITx/10.03x_3/2T2016,Summer 2016,Year 5
MITx/11.126x/3T2014,Fall 2014,Year 3
MITx/11.126x_2/1T2016,Spring 2016,Year 4
MITx/11.127x/1T2015,Spring 2015,Year 3
MITx/11.127x_2/3T2016,Fall 2016,Year 5
MITx/11.132x/3T2014,Fall 2014,Year 3
MITx/11.132x_2/1T2016,Spring 2016,Year 4
