course_id,semester,year
MITx/6.004.2x_2/3T2016,Fall 2016,Year 5
MITx/6.004.3x/2T2016,Summer 2016,Year 5
MITx/6.004.3x_2/1T2017,Spring 2017,Year 5
MITx/6.041.1x/3T2017,Fall 2017,Year 6
MITx/6.041.2x/1T2018,Spring 2018,Year 6
MITx/6.041x/1T2014,Spring 2014,Year 2
MITx/6.041x_1/1T2015,Spring 2015,Year 3
MITx/6.041x_3/2T2016,Spring 2016,Year 4
MITx/6.041x_4/1T2017,Spring 2017,Year 5
MITx/6.302.0x/1T2016,Spring 2016,Year 4
MITx/6.302.0x/2T2016,Fall 2016,Year 5
MITx/6.302.1x/2T2016,Fall 2016,Year 5
MITx/6.341x/3T2014,Spring 2015,Year 3
MITx/6.341x_2/2T2016,Fall 2016,Year 5
MITx/6.832x/3T2014,Fall 2014,Year 3
MITx/6.832x_2/3T2015,Fall 2015,Year 4
MITx/6.SFMx/1T2014,Spring 2014,Year 2
MITx/7.00x/3T2017,Spring 2018,Year 6
MITx/7.00x/1T2018b,Spring 2018,Year 6
MITx/7.00x/1T2017,Spring 2017,Year 5
MITx/7.00x/2T2017,Fall 2017,Year 6
MITx/7.00x/2013_SOND,Fall 2013,Year 2
MITx/7.00x_2/2T2014,Summer 2014,Year 3
MITx/7.00x_3/2T2015,Summer 2015,Year 4
MITx/7.00x_4/2T2016,Fall 2016,Year 5
MITx/7.00x_5/3T2016,Fall 2016,Year 5
MITx/7.28.1x/1T2018,Spring 2018,Year 6
MITx/7.28.1x/1T2015,Spring 2015,Year 3
MITx/7.28.1x/1T2017,Spring 2017,Year 5
MITx/7.28.1x_1/2T2015,Summer 2015,Year 4
MITx/7.28.1x_2/2T2016,Summer 2016,Year 5
MITx/7.28.2x/3T2015,Fall 2015,Year 4
MITx/7.28.2x/1T2018,Spring 2018,Year 6
MITx/7.28.2x/2T2017,Fall 2017,Year 6
MITx/7.28.3x/3T2016,Spring 2017,Year 5
MITx/7.28.3x/2T2017,Fall 2017,Year 6
MITx/7.QBW_1x/1T2015,Spring 2015,Year 3
MITx/7.QBWx/3T2017,Spring 2018,Year 6
MITx/7.QBWx/2T2014,Summer 2014,Year 3
MITx/7.QBWx_3/1T2016,Spring 2016,Year 4
MITx/7.QBWx_4/3T2016,Fall 2016,Year 5
MITx/8.01.1x/3T2016,Fall 2016,Year 5
MITx/8.01.1x/3T2017,Fall 2017,Year 6
MITx/8.01.2x/3T2017,Fall 2017,Year 6
MITx/8.01.2x/3T2016,Fall 2016,Year 5
MITx/8.01.3x/1T2017,Spring 2017,Year 5
MITx/8.01.3x/1T2018,Spring 2018,Year 6
MITx/8.01x/2013_SOND,Fall 2013,Year 2
MITx/8.02.1x/1T2018,Spring 2018,Year 6
MITx/8.02.2x/2T2018,Spring 2018,Year 6
MITx/8.02x/2013_Spring,Spring 2013,Year 1
MITx/8.04.1x/3T2017,Fall 2017,Year 6
MITx/8.04.2x/3T2017,Fall 2017,Year 6
MITx/8.04.3x/3T2017,Fall 2017,Year 6
MITx/8.05.1x/1T2016,Spring 2016,Year 4
MITx/8.05.1x/1T2018,Spring 2018,Year 6
MITx/8.05.2x/1T2016,Spring 2016,Year 4
